authorName,googleMapsPlaceId,placeAddress,placeName,placeUrl,provider,reviewDate,reviewId,reviewRating,reviewText,reviewTitle,reviewUrl
Lindsey L,ChIJAQReQIdZwokR1rcwiar_XqM,"Orchard Grocer, 78 Orchard St, New York, NY 10002, USA",Orchard Grocer,https://page-service.doordash.com/store/orchard-grocer-220725/,door-dash,2022-02-21T18:18:00.620Z,,5,This is the best vegan breakfast I've had on door dash! I got the croissant and BEC sandwiches and it was AMAZING,,
Mara R,ChIJAQReQIdZwokR1rcwiar_XqM,"Orchard Grocer, 78 Orchard St, New York, NY 10002, USA",Orchard Grocer,https://page-service.doordash.com/store/orchard-grocer-220725/,door-dash,2024-12-19T21:47:32.688Z,,5,"The Romey Sandwich is my repeat order, it's so good. All the sandwiches are good. But I made the mistake of tryingA Side of Mac and Cheese and it was awful. Beyond awful. The turmeric is overwhelming, it's completely inedible, I'm sorry. I'm still an Orchard fan and will get the sandwiches but the mac and cheese desperately needs to be readjusted",,
Yvette Y,ChIJAQReQIdZwokR1rcwiar_XqM,"Orchard Grocer, 78 Orchard St, New York, NY 10002, USA",Orchard Grocer,https://page-service.doordash.com/store/orchard-grocer-220725/,door-dash,2024-10-13T23:33:41.872Z,,1,The Orchard CThe Orchard Cobb Salad Salad was horrible. The avocado was missing and the lettuce was old and the end of the stalk. I will never order anything from them again. I would like to have my $19.00 back!,,
Hugh M,ChIJAQReQIdZwokR1rcwiar_XqM,"Orchard Grocer, 78 Orchard St, New York, NY 10002, USA",Orchard Grocer,https://page-service.doordash.com/store/orchard-grocer-220725/,door-dash,2024-07-22T18:44:45.461Z,,5,The Bowery Sandwich was great! Delicious and hearty,,
Erin L,ChIJAQReQIdZwokR1rcwiar_XqM,"Orchard Grocer, 78 Orchard St, New York, NY 10002, USA",Orchard Grocer,https://page-service.doordash.com/store/orchard-grocer-220725/,door-dash,2024-04-11T22:43:45.494Z,,5,edith is the best sandwich i've ever put in my mouth  ,,
Aneesah R,ChIJAQReQIdZwokR1rcwiar_XqM,"Orchard Grocer, 78 Orchard St, New York, NY 10002, USA",Orchard Grocer,https://page-service.doordash.com/store/orchard-grocer-220725/,door-dash,2024-04-02T14:37:57.440Z,,5,"The vegan crossa sandwic was a total of $28 and worth every freaking penny omg the flavors were amazing it just melts in your mouth 
 ",,
Fabiana D,ChIJAQReQIdZwokR1rcwiar_XqM,"Orchard Grocer, 78 Orchard St, New York, NY 10002, USA",Orchard Grocer,https://page-service.doordash.com/store/orchard-grocer-220725/,door-dash,2024-02-21T20:59:42.090Z,,5,Everything is always delicious!! One of my favorite spots to order from and im not even vegan! ,,
Echo N,ChIJAQReQIdZwokR1rcwiar_XqM,"Orchard Grocer, 78 Orchard St, New York, NY 10002, USA",Orchard Grocer,https://page-service.doordash.com/store/orchard-grocer-220725/,door-dash,2023-06-07T16:19:26.177Z,,5,Best vegan place I've found. Almost everything is amazing,,
Richard J,ChIJAQReQIdZwokR1rcwiar_XqM,"Orchard Grocer, 78 Orchard St, New York, NY 10002, USA",Orchard Grocer,https://page-service.doordash.com/store/orchard-grocer-220725/,door-dash,2022-01-05T15:57:19.953Z,,5,Always love their food,,
Tiffanie L,ChIJAQReQIdZwokR1rcwiar_XqM,"Orchard Grocer, 78 Orchard St, New York, NY 10002, USA",Orchard Grocer,https://page-service.doordash.com/store/orchard-grocer-220725/,door-dash,2024-04-23T21:30:43.356Z,,1, The Orchard Cobb Salad was nothing more than a bowl of lettuce with a slab of fried tofu on top. I actually thought I had been pranked when I received it.  ,,
Sierra H,ChIJAQReQIdZwokR1rcwiar_XqM,"Orchard Grocer, 78 Orchard St, New York, NY 10002, USA",Orchard Grocer,https://page-service.doordash.com/store/orchard-grocer-220725/,door-dash,2023-11-29T16:55:37.375Z,,2,The cheese in the kitten sandwich was not melted / was cold.  ,,
Esen B,ChIJAQReQIdZwokR1rcwiar_XqM,"Orchard Grocer, 78 Orchard St, New York, NY 10002, USA",Orchard Grocer,https://page-service.doordash.com/store/orchard-grocer-220725/,door-dash,2022-04-10T17:12:27.107Z,,5,Best vegan hangover food ,,
Sydney A,ChIJAQReQIdZwokR1rcwiar_XqM,"Orchard Grocer, 78 Orchard St, New York, NY 10002, USA",Orchard Grocer,https://page-service.doordash.com/store/orchard-grocer-220725/,door-dash,2023-05-30T19:12:40.412Z,,1,I've been ordering from here for months and at first the food was great which is why I continued ordering. But as of late the food quality has been poor. I ordered the Kale Caesar salad it was heavily dressed with barely any bacon or avocado and extremely salty. I'm disappointed because really enjoyed their food.  ,,
Richard J,ChIJAQReQIdZwokR1rcwiar_XqM,"Orchard Grocer, 78 Orchard St, New York, NY 10002, USA",Orchard Grocer,https://page-service.doordash.com/store/orchard-grocer-220725/,door-dash,2022-01-03T15:44:56.386Z,,5,Love the food,,
Olivia G,ChIJAQReQIdZwokR1rcwiar_XqM,"Orchard Grocer, 78 Orchard St, New York, NY 10002, USA",Orchard Grocer,https://page-service.doordash.com/store/orchard-grocer-220725/,door-dash,2021-10-02T20:53:38.356Z,,5,Amazing food!,,
Denise M,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2023-11-13T23:53:09.600Z,,5,Always get the Black Truffle Parmesan Burger. One of the best burger spots in BK. Love the Belgian style french fries.   Travels well too.,,
Melanie M,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2025-02-04T14:22:17.876Z,,5,ALWAYS THE BEST!!! HANDS DOWN Cookies n' Cream Milkshake IS 10/10. ,,
Trisha D,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2025-01-14T15:53:46.170Z,,5,Sweetest people- best food! Fantastic service! ,,
Adrian C,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2024-12-22T05:09:14.190Z,,4,"Burger was salty/seasoned af. I could barely tast the burger. Like cup noodles seasoning straight to your mouth. 

   Fries were aight. Chicken wings were good enough.

I dont feel like crap so I guess its ok",,
Melesia M,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2024-11-26T00:02:39.573Z,,5,"Loaded Fries - Chop Truffle Cheeseburger
Was amazing!!!!",,
Whitney C,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2023-01-28T22:05:31.443Z,,5,soooooooo good. fries are always amazing. ceggie burger and veggie burger salad are my favorites.,,
Victoria L,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2022-05-28T21:39:04.947Z,,5,My usual order is the plain burger & fries. Both are always good.,,
Kyla R,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2022-05-06T19:38:12.963Z,,5,"Fast delivery, you get every sauce you ask for & the food is delicious.",,
Kurosh H,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2022-04-07T03:17:39.284Z,,5,"Please mark the food done when ready. When we arrived it was done and not so warm anymore, even though it wasn't marked as done. We live 1m away we could have been there as soon as ready if you had advised us",,
