authorName,googleMapsPlaceId,placeAddress,placeName,placeUrl,provider,reviewDate,reviewId,reviewImages/0,reviewImages/1,reviewImages/2,reviewImages/3,reviewImages/4,reviewImages/5,reviewImages/6,reviewImages/7,reviewImages/8,reviewImages/9,reviewImages/10,reviewImages/11,reviewImages/12,reviewRating,reviewText,reviewTitle,reviewUrl
Taylor C,ChIJLRLXVyx_bIcRYZRuWvTMkTk,"1160 Speer Blvd, Denver, CO 80204-3527",Gateaux Bakery,https://www.tripadvisor.com/Restaurant_Review-g33388-d833601-Reviews-Gateaux_Bakery-Denver_Colorado.html,tripadvisor,2022-05-03T00:00:00.000Z,837058289,,,,,,,,,,,,,,5,"There are dozens of phenomenal bakeries in the Denver area, but Gateaux stands out above the rest for their creativity, organization, cost, flexibility, and of course, delectability! The head Chef, Michelle, is incredibly easy to work with and made this aspect of the planning process totally seamless. I will be going back for any event, big or small.",Perfect for Weddings!,https://www.tripadvisor.com/ShowUserReviews-g33388-d833601-r837058289-Gateaux_Bakery-Denver_Colorado.html
Joe R,ChIJLRLXVyx_bIcRYZRuWvTMkTk,"1160 Speer Blvd, Denver, CO 80204-3527",Gateaux Bakery,https://www.tripadvisor.com/Restaurant_Review-g33388-d833601-Reviews-Gateaux_Bakery-Denver_Colorado.html,tripadvisor,2019-03-02T00:00:00.000Z,655925972,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/a3/95/6d/photo1jpg.jpg,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/a3/95/6b/photo0jpg.jpg,,,,,,,,,,,,4,"We ordered a carrot cake for a birthday, and really had a Gateaux creation that was the hit of the party.  The icing was unique and not real sweet, but was really good.  The sponge had a great flavor with a generous amount of shredded carrots and nuts.  There were pieces of white chocolate decorated on the cake which topped off the taste. It was delish!",Tasty Carrot Cale,https://www.tripadvisor.com/ShowUserReviews-g33388-d833601-r655925972-Gateaux_Bakery-Denver_Colorado.html
Kit R,ChIJLRLXVyx_bIcRYZRuWvTMkTk,"1160 Speer Blvd, Denver, CO 80204-3527",Gateaux Bakery,https://www.tripadvisor.com/Restaurant_Review-g33388-d833601-Reviews-Gateaux_Bakery-Denver_Colorado.html,tripadvisor,2019-01-23T00:00:00.000Z,647820919,,,,,,,,,,,,,,5,"Out for a walk and came across this little bakery. Our mouths were so happy!!

Super friendly gal met us at the front counter.  The cakes in the display case were amazing to look at, the frosted shortbread cookies were delightful, and the other items equally tempting.

We had shortbread cookies - lovely texture, right balance of crumble and sweet; dark chocolate tart - we split this and it was the perfect amount; the mousse was rich, yet not heavy; caramel apple cake - not overly sweet, with visible pieces of apple in a nice spice cake.

If I lived in Denver, I would be a frequent customer!",You Should Come Here!,https://www.tripadvisor.com/ShowUserReviews-g33388-d833601-r647820919-Gateaux_Bakery-Denver_Colorado.html
Elizabeth M,ChIJLRLXVyx_bIcRYZRuWvTMkTk,"1160 Speer Blvd, Denver, CO 80204-3527",Gateaux Bakery,https://www.tripadvisor.com/Restaurant_Review-g33388-d833601-Reviews-Gateaux_Bakery-Denver_Colorado.html,tripadvisor,2018-02-24T00:00:00.000Z,562555817,,,,,,,,,,,,,,4,"Wedding or birthday or retirement cakes. If you are looking for a special cake, you need to look here. Cakes are handmade and they will do anything for your needs. They also sell cupcakes for your sweet tooth. The wait people are also very helpful to help you plan your special cake.",Wedding Cakes,https://www.tripadvisor.com/ShowUserReviews-g33388-d833601-r562555817-Gateaux_Bakery-Denver_Colorado.html
LloydA42,ChIJLRLXVyx_bIcRYZRuWvTMkTk,"1160 Speer Blvd, Denver, CO 80204-3527",Gateaux Bakery,https://www.tripadvisor.com/Restaurant_Review-g33388-d833601-Reviews-Gateaux_Bakery-Denver_Colorado.html,tripadvisor,2018-02-14T00:00:00.000Z,560542881,,,,,,,,,,,,,,5,"Every time I have been here, the customer service never fails. In the service world, customer service is king, because so many are offering products that are nearly equal. That said, each and every tasty treat I've picked up has been far from equal. Gateaux rises above, and I look forward to the next occasion so I can order another decadent goody.
Please keep doing what you do.",Just Wonderful,https://www.tripadvisor.com/ShowUserReviews-g33388-d833601-r560542881-Gateaux_Bakery-Denver_Colorado.html
James B,ChIJLRLXVyx_bIcRYZRuWvTMkTk,"1160 Speer Blvd, Denver, CO 80204-3527",Gateaux Bakery,https://www.tripadvisor.com/Restaurant_Review-g33388-d833601-Reviews-Gateaux_Bakery-Denver_Colorado.html,tripadvisor,2017-05-06T00:00:00.000Z,482103408,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/31/fd/bb/photo0jpg.jpg,,,,,,,,,,,,,5,"Gateaux's is quite a beautiful bakery and manages to do amazing delicious work.  They make creations to your order and do a great job.  Cookies, cakes and a myriad of baked items are available for order or purchase. Need a specialty cake with a special design?  This is the place to visit.  Nice folks and great tastes.  ",Wow what a beautiful bakery,https://www.tripadvisor.com/ShowUserReviews-g33388-d833601-r482103408-Gateaux_Bakery-Denver_Colorado.html
Vhailor1,ChIJLRLXVyx_bIcRYZRuWvTMkTk,"1160 Speer Blvd, Denver, CO 80204-3527",Gateaux Bakery,https://www.tripadvisor.com/Restaurant_Review-g33388-d833601-Reviews-Gateaux_Bakery-Denver_Colorado.html,tripadvisor,2016-08-26T00:00:00.000Z,411268827,,,,,,,,,,,,,,5,"Loved the pastries, especially the blueberry scone, which had so much blueberry filling. Great stuff all around here.",Delicious pastries,https://www.tripadvisor.com/ShowUserReviews-g33388-d833601-r411268827-Gateaux_Bakery-Denver_Colorado.html
BaseballDiner,ChIJLRLXVyx_bIcRYZRuWvTMkTk,"1160 Speer Blvd, Denver, CO 80204-3527",Gateaux Bakery,https://www.tripadvisor.com/Restaurant_Review-g33388-d833601-Reviews-Gateaux_Bakery-Denver_Colorado.html,tripadvisor,2016-06-17T00:00:00.000Z,383405540,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/a5/85/38/specialty-birthday-cake.jpg,,,,,,,,,,,,,5,For birthdays this is always the first place to go on my list. We always stop here to pick up a specialty cake for the kids which they always do perfectly. The cookies always make us get something more than just the cake.,Wonderful Desserts,https://www.tripadvisor.com/ShowUserReviews-g33388-d833601-r383405540-Gateaux_Bakery-Denver_Colorado.html
Richelle C,ChIJLRLXVyx_bIcRYZRuWvTMkTk,"1160 Speer Blvd, Denver, CO 80204-3527",Gateaux Bakery,https://www.tripadvisor.com/Restaurant_Review-g33388-d833601-Reviews-Gateaux_Bakery-Denver_Colorado.html,tripadvisor,2016-04-29T00:00:00.000Z,368792474,,,,,,,,,,,,,,3,"Elegant, affordable, hit or miss with the individual assortments. Some were delicious some weren't our taste as to be expected. Highly recommend the little blue cake that looks like a present. Very friendly staff. ",Sweet tooth satisfied ,https://www.tripadvisor.com/ShowUserReviews-g33388-d833601-r368792474-Gateaux_Bakery-Denver_Colorado.html
bclackey,ChIJLRLXVyx_bIcRYZRuWvTMkTk,"1160 Speer Blvd, Denver, CO 80204-3527",Gateaux Bakery,https://www.tripadvisor.com/Restaurant_Review-g33388-d833601-Reviews-Gateaux_Bakery-Denver_Colorado.html,tripadvisor,2016-03-30T00:00:00.000Z,360218492,,,,,,,,,,,,,,5,"Gateaux is a quaint bakery that has amazing pastries, cakes and cookies. Their butter cookies are amazing, and you wont find another one like it anywhere. It's a great place to sit and have a cup of coffee with a pastry, or to take one of the beautiful pastries/cakes home. If you are looking for a special cake to be made, this is also the place to order it. We have been coming to Gateaux for over 8 years and have had beautiful cakes made for birthdays, graduations, and other special occasions. 

We live about 15 miles away, and gladly will deal with the Denver traffic to get one of their goodies! 

Treat yourself!",OOOOH La La! Best Butter Cookies anywhere!,https://www.tripadvisor.com/ShowUserReviews-g33388-d833601-r360218492-Gateaux_Bakery-Denver_Colorado.html
