authorName,googleMapsPlaceId,placeAddress,placeName,placeUrl,provider,reviewDate,reviewId,reviewImages/0,reviewImages/1,reviewImages/2,reviewImages/3,reviewImages/4,reviewImages/5,reviewImages/6,reviewImages/7,reviewImages/8,reviewImages/9,reviewImages/10,reviewImages/11,reviewImages/12,reviewImages/13,reviewImages/14,reviewImages/15,reviewImages/16,reviewRating,reviewText,reviewTitle,reviewUrl
Gabriella O,ChIJAxpMs_xYwokRzNtZQbtlPpo,"140 E 52nd St, New York, NY 10022, USA",The Mill (NY),https://page-service.doordash.com/store/the-mill-(ny)-new-york-690953/,door-dash,2024-10-22T17:26:42.185Z,,,,,,,,,,,,,,,,,,,5,Good food and service is excellent,,
TJ P,ChIJuQeWi_lYwokRB0tWx-ZYzHI,"Tang Pavilion, 65 W 55th St, New York, NY 10019, USA",Tang Pavilion,https://page-service.doordash.com/store/tang-pavilion-177265/,door-dash,2023-06-22T00:32:52.964Z,,,,,,,,,,,,,,,,,,,1,Ting Po Pork missing key item. Containers not packed proper. Everything leaked or spilled over. It used to be a great restaurant but now it looks like they don't care. ,,
Alejandro F,ChIJuQeWi_lYwokRB0tWx-ZYzHI,"Tang Pavilion, 65 W 55th St, New York, NY 10019, USA",Tang Pavilion,https://page-service.doordash.com/store/tang-pavilion-177265/,door-dash,2022-06-01T23:56:23.099Z,,,,,,,,,,,,,,,,,,,2,I didn't get the Taro Tang-T from my order. :/,,
Jonathan E,ChIJRX_WToFZwokRQfmmViZ_C-A,"135 Ludlow Street, New York, NY 10002, USA",Creperie NYC,https://www.doordash.com/store/creperie-nyc-new-york-8917/,door-dash,2025-01-19T19:47:57.085Z,,,,,,,,,,,,,,,,,,,5,"Best little shop on the Lower East Side!
Absolutely delicious 😋 😍 😊",,
Rayne V,ChIJRX_WToFZwokRQfmmViZ_C-A,"135 Ludlow Street, New York, NY 10002, USA",Creperie NYC,https://www.doordash.com/store/creperie-nyc-new-york-8917/,door-dash,2024-10-20T23:22:50.236Z,,,,,,,,,,,,,,,,,,,5,"the #14 with bacon is always clutch! filling, hot, and the staff is the best! I always stop by when in the area",,
Siddharth S,ChIJRX_WToFZwokRQfmmViZ_C-A,"135 Ludlow Street, New York, NY 10002, USA",Creperie NYC,https://www.doordash.com/store/creperie-nyc-new-york-8917/,door-dash,2024-06-25T00:47:19.912Z,,,,,,,,,,,,,,,,,,,1,Strawberries were not fresh. And it's not worth the money. Maybe it's better if you go there and have it. Worst $15 spent. I won't recommend anyone ordering it. ,,
Alyssa D,ChIJRX_WToFZwokRQfmmViZ_C-A,"135 Ludlow Street, New York, NY 10002, USA",Creperie NYC,https://www.doordash.com/store/creperie-nyc-new-york-8917/,door-dash,2024-01-19T06:24:16.673Z,,,,,,,,,,,,,,,,,,,4,"Good crepes, forgot to give my ice cream and whip cream though",,
Linda M,ChIJRX_WToFZwokRQfmmViZ_C-A,"135 Ludlow Street, New York, NY 10002, USA",Creperie NYC,https://www.doordash.com/store/creperie-nyc-new-york-8917/,door-dash,2023-08-30T02:55:37.412Z,,,,,,,,,,,,,,,,,,,5,absolutely the best crepe I've ever had. I want to try everything here.,,
Onyali B,ChIJRX_WToFZwokRQfmmViZ_C-A,"135 Ludlow Street, New York, NY 10002, USA",Creperie NYC,https://www.doordash.com/store/creperie-nyc-new-york-8917/,door-dash,2022-11-09T01:36:15.888Z,,,,,,,,,,,,,,,,,,,5,I love this place so much!!  I really recommend the House Special Crepe: Tiramisu,,
Heather L,ChIJRX_WToFZwokRQfmmViZ_C-A,"135 Ludlow Street, New York, NY 10002, USA",Creperie NYC,https://www.doordash.com/store/creperie-nyc-new-york-8917/,door-dash,2022-06-16T04:07:00.318Z,,,,,,,,,,,,,,,,,,,5,The butter and sugar with raspberries and white chocolate is unreal. ,,
Khloe W,ChIJRX_WToFZwokRQfmmViZ_C-A,"135 Ludlow Street, New York, NY 10002, USA",Creperie NYC,https://www.doordash.com/store/creperie-nyc-new-york-8917/,door-dash,2022-05-17T23:45:21.234Z,,,,,,,,,,,,,,,,,,,5,The Nutella and Strawberry Crepes are so good! I highly recommend! The taste is exquisite! I will continue to buy!,,
