"authorName","googleMapsPlaceId","placeAddress","placeName","placeUrl","provider","reviewDate","reviewId","reviewImages/0","reviewImages/1","reviewImages/2","reviewImages/3","reviewImages/4","reviewImages/5","reviewImages/6","reviewImages/7","reviewImages/8","reviewImages/9","reviewImages/10","reviewImages/11","reviewImages/12","reviewImages/13","reviewImages/14","reviewImages/15","reviewRating","reviewText","reviewTitle","reviewUrl"
"Matthew Mraz","ChIJFcrad0_1wokRgswE_VOwb4o","12 Vandam St, New York, NY 10013","Torch & Crown Brewing Company","https://www.google.com/maps/search/?api=1&query=Torch%20%26%20Crown%20Brewing%20Company&query_place_id=ChIJFcrad0_1wokRgswE_VOwb4o","google-maps","2025-03-04T20:13:54.252Z","ChZDSUhNMG9nS0VJQ0FnTUNRZ1pxUFZnEAE",,,,,,,,,,,,,,,,,"5","Love that they brew in Manhattan, plus brews are great and was able to to get a draft beer at $7. We also have to remember craft beer is a luxury, if you want cheap beer, go to a place that has mass produced beer.

Location is spacious and great to work at during the day. Had a great experience with the bartender named Eric, was welcoming and friendly.",,"https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUNRZ1pxUFZnEAE!2m1!1s0x0:0x8a6fb053fd04cc82!3m1!1s2@1:CIHM0ogKEICAgMCQgZqPVg%7CCgsIgr6dvgYQ0OHHeA%7C?hl=en"
"James Lopez","ChIJCb9dhqVbwokRRWJzMd-IdYk","623 Sackett St, Brooklyn, NY 11217","Wild East Brewing Co.","https://www.google.com/maps/search/?api=1&query=Wild%20East%20Brewing%20Co.&query_place_id=ChIJCb9dhqVbwokRRWJzMd-IdYk","google-maps","2025-03-21T21:34:57.554Z","ChZDSUhNMG9nS0VJQ0FnTUN3dDVDZUl3EAE",,,,,,,,,,,,,,,,,"5",,,"https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUN3dDVDZUl3EAE!2m1!1s0x0:0x897588df31736245!3m1!1s2@1:CIHM0ogKEICAgMCwt5CeIw%7CCgwIgbf3vgYQgKrFiAI%7C?hl=en"
"David Monroy","ChIJix9FO6lbwokRkZyFzr3vOeg","82 Prospect St, Brooklyn, NY 11201","Randolph Beer","https://www.google.com/maps/search/?api=1&query=Randolph%20Beer&query_place_id=ChIJix9FO6lbwokRkZyFzr3vOeg","google-maps","2025-03-23T00:02:15.222Z","ChdDSUhNMG9nS0VJQ0FnTUR3OElYQXVRRRAB",,,,,,,,,,,,,,,,,"5",,,"https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUR3OElYQXVRRRAB!2m1!1s0x0:0xe839efbdce859c91!3m1!1s2@1:CIHM0ogKEICAgMDw8IXAuQE%7CCgsIh5_9vgYQgNvxaQ%7C?hl=en"
"Erik Ranke","ChIJ56J9GJFZwokRdJwuF-USZIs","600 5th Ave A2, New York, NY 10020","Other Half Brewing - Rockefeller Center Taproom","https://www.google.com/maps/search/?api=1&query=Other%20Half%20Brewing%20-%20Rockefeller%20Center%20Taproom&query_place_id=ChIJ56J9GJFZwokRdJwuF-USZIs","google-maps","2025-03-19T15:10:49.677Z","ChdDSUhNMG9nS0VJQ0FnTUN3OGFTRDZnRRAB",,,,,,,,,,,,,,,,,"5",,,"https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUN3OGFTRDZnRRAB!2m1!1s0x0:0x8b6412e5172e9c74!3m1!1s2@1:CIHM0ogKEICAgMCw8aSD6gE%7CCgwI-bzrvgYQsM2AwwI%7C?hl=en"
"Alex Roberts","ChIJHyyKXk1bwokRDAN8dgCuOTw","445 Gold St, Brooklyn, NY 11201","Sixpoint Brewery at City Point","https://www.google.com/maps/search/?api=1&query=Sixpoint%20Brewery%20at%20City%20Point&query_place_id=ChIJHyyKXk1bwokRDAN8dgCuOTw","google-maps","2025-03-14T16:56:14.286Z","ChdDSUhNMG9nS0VJQ0FnTURRdTkyX3dnRRAB",,,,,,,,,,,,,,,,,"5","Sixpoint is great! If you find yourself in the Brooklyn by the food hall. Check out Sixpoint! Great food, service, beer and spirits. James was awesome behind the bar!",,"https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTURRdTkyX3dnRRAB!2m1!1s0x0:0x3c39ae00767c030c!3m1!1s2@1:CIHM0ogKEICAgMDQu92_wgE%7CCgwIrr_RvgYQ8MDWiAE%7C?hl=en"
"Andrew W","ChIJ2b01AE5bwokRoDYzDwc-jFg","228 7th Ave, Brooklyn, NY 11215","Brewer's Row","https://www.google.com/maps/search/?api=1&query=Brewer's%20Row&query_place_id=ChIJ2b01AE5bwokRoDYzDwc-jFg","google-maps","2025-03-17T14:38:16.414Z","ChZDSUhNMG9nS0VJQ0FnTUN3b3M3blFREAE",,,,,,,,,,,,,,,,,"5","Nice place with a good tap selection. While they have food, it's not a full menu, but go for the drinks.",,"https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUN3b3M3blFREAE!2m1!1s0x0:0x588c3e070f3336a0!3m1!1s2@1:CIHM0ogKEICAgMCwos7nQQ%7CCgwI2OfgvgYQ6JvFxQE%7C?hl=en"
"Amelia","ChIJoxbjNjNOwokRx6UlFuwbl5E","60 Van Duzer St, Staten Island, NY 10301","Craft House","https://www.google.com/maps/search/?api=1&query=Craft%20House&query_place_id=ChIJoxbjNjNOwokRx6UlFuwbl5E","google-maps","2025-03-09T03:58:58.950Z","ChZDSUhNMG9nS0VJQ0FnTURRbEp6MlRREAE",,,,,,,,,,,,,,,,,"5",,,"https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTURRbEp6MlRREAE!2m1!1s0x0:0x91971bec1625a5c7!3m1!1s2@1:CIHM0ogKEICAgMDQlJz2TQ%7CCgwIgqS0vgYQ6KiFxQM%7C?hl=en"
"Sam Grone","ChIJ8yKOzyNbwokRCGMhyFYrIxw","158 Beard St, Brooklyn, NY 11231","Keg & Lantern Red Hook","https://www.google.com/maps/search/?api=1&query=Keg%20%26%20Lantern%20Red%20Hook&query_place_id=ChIJ8yKOzyNbwokRCGMhyFYrIxw","google-maps","2025-03-15T18:32:51.633Z","ChZDSUhNMG9nS0VJQ0FnTUN3Z0x5UldREAE",,,,,,,,,,,,,,,,,"5","Super fast service, nice waiters, cute doggos",,"https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUN3Z0x5UldREAE!2m1!1s0x0:0x1c232b56c8216308!3m1!1s2@1:CIHM0ogKEICAgMCwgLyRWQ%7CCgwI04_XvgYQ8OihrgI%7C?hl=en"
"B","ChIJSSNcbABZwokR8k86G7mt6w4","116 St Marks Pl, New York, NY 10009","Craft + Carry Saint Marks","https://www.google.com/maps/search/?api=1&query=Craft%20%2B%20Carry%20Saint%20Marks&query_place_id=ChIJSSNcbABZwokR8k86G7mt6w4","google-maps","2025-03-13T02:52:11.690Z","ChdDSUhNMG9nS0VJQ0FnTURRemJlRzRBRRAB",,,,,,,,,,,,,,,,,"2","Expensive!

Selection is good but if you're looking for a place to walk in and walk out... it's pricy. 9 bucks a beer",,"https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTURRemJlRzRBRRAB!2m1!1s0x0:0xeebadb91b3a4ff2!3m1!1s2@1:CIHM0ogKEICAgMDQzbeG4AE%7CCgwI25DJvgYQuMmmyQI%7C?hl=en"
"Henny Zijlstra","ChIJ-14Y8hFawokRAxpOV3qCC0o","38 Little W St, New York, NY 10004","Inatteso Cafe","https://www.google.com/maps/search/?api=1&query=Inatteso%20Cafe&query_place_id=ChIJ-14Y8hFawokRAxpOV3qCC0o","google-maps","2025-03-22T16:53:12.018Z","ChdDSUhNMG9nS0VJQ0FnTUR3NEt6WDFBRRAB",,,,,,,,,,,,,,,,,"5","Nice coffee place close to the ferry",,"https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUR3NEt6WDFBRRAB!2m1!1s0x0:0x4a0b827a574e1a03!3m1!1s2@1:CIHM0ogKEICAgMDw4KzX1AE%7CCgsI-NX7vgYQ6PvoCA%7C?hl=en"
