authorName,googleMapsPlaceId,placeAddress,placeName,placeUrl,provider,reviewDate,reviewId,reviewImages/0,reviewImages/1,reviewImages/2,reviewImages/3,reviewImages/4,reviewImages/5,reviewImages/6,reviewImages/7,reviewImages/8,reviewImages/9,reviewImages/10,reviewImages/11,reviewImages/12,reviewImages/13,reviewImages/14,reviewImages/15,reviewImages/16,reviewImages/17,reviewImages/18,reviewImages/19,reviewImages/20,reviewImages/21,reviewImages/22,reviewImages/23,reviewImages/24,reviewImages/25,reviewImages/26,reviewRating,reviewText,reviewTitle,reviewUrl
,ChIJYy2rhoVZwokRhMtbBvmSu8I,"272 Adelphi St, Brooklyn, NY 11205",Mottsu,https://www.google.com/maps/search/?api=1&query=Mottsu&query_place_id=ChIJYy2rhoVZwokRhMtbBvmSu8I,google-maps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sebastian p,ChIJVYoE0SZcwokR10j8lD7e2WU,"778 Seneca Ave, Ridgewood, NY 11385",Milk & Pull,https://www.google.com/maps/search/?api=1&query=Milk%20%26%20Pull&query_place_id=ChIJVYoE0SZcwokR10j8lD7e2WU,google-maps,2025-03-18T15:23:24.011Z,ChdDSUhNMG9nS0VJQ0FnTURRM0tHa2pnRRAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"The employees truly could not care less if you died in front of them. They’re visibly upset when you walk in and want to order something lol. Especially if they’re in the middle of talking to a coworker. Someone was doing a tarot card reading in there today. It pissed me off. They call our sandwich orders and while  customers should obviously be listening for their order, if you don’t sprint to the counter by the time the order is called the employees face contorts into such a look of disgust lol. Cold brew is fire and the roasted bush goes stupid hard.",,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTURRM0tHa2pnRRAB!2m1!1s0x0:0x65d9de3e94fc48d7!3m1!1s2@1:CIHM0ogKEICAgMDQ3KGkjgE%7CCgsI7J_mvgYQ0Ku7BQ%7C?hl=en
Daniel,ChIJVYoE0SZcwokR10j8lD7e2WU,"778 Seneca Ave, Ridgewood, NY 11385",Milk & Pull,https://www.google.com/maps/search/?api=1&query=Milk%20%26%20Pull&query_place_id=ChIJVYoE0SZcwokR10j8lD7e2WU,google-maps,2025-03-11T05:50:24.337Z,ChdDSUhNMG9nS0VJQ0FnTURRN29UNWd3RRAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Decent spot for a coffee,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTURRN29UNWd3RRAB!2m1!1s0x0:0x65d9de3e94fc48d7!3m1!1s2@1:CIHM0ogKEICAgMDQ7oT5gwE%7CCgwIoJ6_vgYQgLOAoQE%7C?hl=en
Samantha Edwards,ChIJVYoE0SZcwokR10j8lD7e2WU,"778 Seneca Ave, Ridgewood, NY 11385",Milk & Pull,https://www.google.com/maps/search/?api=1&query=Milk%20%26%20Pull&query_place_id=ChIJVYoE0SZcwokR10j8lD7e2WU,google-maps,2025-03-04T00:51:19.643Z,ChZDSUhNMG9nS0VJQ0FnTUNRNXZEQ05BEAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Love Milk & Pull! This was my first time being to (and even knowing) about this location. Great and quick service and coffee. I wish my lox was a little softer/fresher and had more cream cheese but overall yummy. My main complaint would be that it’s a little run down and disheveled. Like the walls are scraped up and the front isn’t quite as tidy as I remember the other location being. But regardless I’m sure I’ll be back so long as I can secure a place to sit!,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUNRNXZEQ05BEAE!2m1!1s0x0:0x65d9de3e94fc48d7!3m1!1s2@1:CIHM0ogKEICAgMCQ5vDCNA%7CCgwIh52ZvgYQqLmAswI%7C?hl=en
Medina Mustafaj,ChIJKQyV7rxfwokRu18euJtTyaE,"67-09 Fresh Pond Rd, Ridgewood, NY 11385",Met Fresh of Ridgewood,https://www.google.com/maps/search/?api=1&query=Met%20Fresh%20of%20Ridgewood&query_place_id=ChIJKQyV7rxfwokRu18euJtTyaE,google-maps,2025-03-19T00:31:10.555Z,ChZDSUhNMG9nS0VJQ0FnTUN3cm92TUhREAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"I LOVE it here!
Produce is always fresh! They have so many healthy snack options that you won’t find at your local ShopRite .
They carry a lot of items that you’ll find at Whole Foods (and even some exclusive items, Whole Foods doesn’t carry) - that are healthy and clean ingredients.
The managers are great, especially Hassan.
If you need help ask, they are very friendly.",,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUN3cm92TUhREAE!2m1!1s0x0:0xa1c9539bb81e5fbb!3m1!1s2@1:CIHM0ogKEICAgMCwrovMHQ%7CCgwIzqDovgYQiJXZiAI%7C?hl=en
Hassan Alifarag,ChIJKQyV7rxfwokRu18euJtTyaE,"67-09 Fresh Pond Rd, Ridgewood, NY 11385",Met Fresh of Ridgewood,https://www.google.com/maps/search/?api=1&query=Met%20Fresh%20of%20Ridgewood&query_place_id=ChIJKQyV7rxfwokRu18euJtTyaE,google-maps,2025-03-15T20:20:17.326Z,ChZDSUhNMG9nS0VJQ0FnTUN3d0xiTUVBEAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUN3d0xiTUVBEAE!2m1!1s0x0:0xa1c9539bb81e5fbb!3m1!1s2@1:CIHM0ogKEICAgMCwwLbMEA%7CCgwIgcLXvgYQgJTGmwE%7C?hl=en
Dairon Disla,ChIJKQyV7rxfwokRu18euJtTyaE,"67-09 Fresh Pond Rd, Ridgewood, NY 11385",Met Fresh of Ridgewood,https://www.google.com/maps/search/?api=1&query=Met%20Fresh%20of%20Ridgewood&query_place_id=ChIJKQyV7rxfwokRu18euJtTyaE,google-maps,2025-03-13T10:10:14.517Z,ChdDSUhNMG9nS0VJQ0FnTURRM1llRTl3RRAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTURRM1llRTl3RRAB!2m1!1s0x0:0xa1c9539bb81e5fbb!3m1!1s2@1:CIHM0ogKEICAgMDQ3YeE9wE%7CCgwIht7KvgYQ8OvL9gE%7C?hl=en
Elena Saunders,ChIJKQyV7rxfwokRu18euJtTyaE,"67-09 Fresh Pond Rd, Ridgewood, NY 11385",Met Fresh of Ridgewood,https://www.google.com/maps/search/?api=1&query=Met%20Fresh%20of%20Ridgewood&query_place_id=ChIJKQyV7rxfwokRu18euJtTyaE,google-maps,2025-03-05T05:09:20.924Z,ChdDSUhNMG9nS0VJQ0FnTUNRMGZfdWdBRRAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Everyone who works here is so nice! It’s a very clean and nice store that is very well stocked. I keep coming back because the staff is so kind and helpful.,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUNRMGZfdWdBRRAB!2m1!1s0x0:0xa1c9539bb81e5fbb!3m1!1s2@1:CIHM0ogKEICAgMCQ0f_ugAE%7CCgwIgLmfvgYQ8OL5uAM%7C?hl=en
Rubie Cusack,ChIJKQyV7rxfwokRu18euJtTyaE,"67-09 Fresh Pond Rd, Ridgewood, NY 11385",Met Fresh of Ridgewood,https://www.google.com/maps/search/?api=1&query=Met%20Fresh%20of%20Ridgewood&query_place_id=ChIJKQyV7rxfwokRu18euJtTyaE,google-maps,2025-03-03T16:37:12.500Z,ChZDSUhNMG9nS0VJQ0FnTUNRcXB2dExBEAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"I ♡♡♡ this store¡!¡ ☆ Clean location/actual space to walk around•  Essentials at great prices (considering the state of the economy)• Fun quirky snacks ¥uM!• Awesome weekly sales that actually saves $$. (& the Rewards program)• the cashiers are all friendly• stockers help you find something if you ask• delicious sushi & prepared foods • & the most amazing manager - Hass! I've worked retail & know a good manager when I see one.  He's super genuinely friendly with everyone, jumps in to help when it gets busy, all around great guy/manager! I shop here avg 3 times a week.",,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUNRcXB2dExBEAE!2m1!1s0x0:0xa1c9539bb81e5fbb!3m1!1s2@1:CIHM0ogKEICAgMCQqpvtLA%7CCgwIuLWXvgYQwPvj7gE%7C?hl=en
,ChIJuWKZyCBewokR77exSMoO-zE,"10702a 71st Ave, Forest Hills, NY 11375",Mr Vino Wine & Spirits,https://www.google.com/maps/search/?api=1&query=Mr%20Vino%20Wine%20%26%20Spirits&query_place_id=ChIJuWKZyCBewokR77exSMoO-zE,google-maps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
